artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Cool Vibes Jazz,spotify:artist:5hJVNjQDJlPKAJsBXoYiT2,Fresh 2020 Lounge Jazz Vibes,spotify:album:3ntzyC2aWsUVukHddRKdvu,New Year Resolutions,7xbTNPhSrwHRp2UEB7be3H,11,15,2020-01-08,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 1 (2000 - 2020)",spotify:album:5mEYXiva2AGbbaSi7Dj9qM,"Nick of Time - Live at Liverpool Philharmonic Hall, 2004",6PNaaoB0T160zO6brSoSqU,15,13,2020-01-17,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 1 (2000 - 2020)",spotify:album:5mEYXiva2AGbbaSi7Dj9qM,"Satisfy My Soul - Live at Symphony Hall, Birmingham, 2017",2JmNXgqKIJBnOiKJK41UVt,16,13,2020-01-17,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 1 (2000 - 2020)",spotify:album:5mEYXiva2AGbbaSi7Dj9qM,"My Kind - Live at Buxton Opera House, 2004",482R5ggU13QXsXIbAyxuax,14,13,2020-01-17,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 3 (2000 - 2020)",spotify:album:7wFSGMDCe6FxcBKDIveP6z,"Raining in My Heart - Live at The Brighton Centre, 2019",66Fzi0XnGSHqzHc8fH9S0u,8,15,2020-02-21,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 4 (2000 - 2020)",spotify:album:4imG97mv42KPXY9jWKJwjR,"One Small Step - Live at Buxton Opera House, 2004",2xjJH8zTz5DMtWkx7amKoF,7,15,2020-02-28,day
Corona Virus,spotify:artist:3R5E46XMBFpNpSCDsLxypr,Chinese Symphonic Virus: Pop Songs for New Year Celebration 2020,spotify:album:1QVTxcYeCvZgyicqffqOMo,The Legend of the Century Egg,4f5VEw4xKpAF46FlEkjPa3,17,7,2020-02-12,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 4 (2000 - 2020)",spotify:album:4imG97mv42KPXY9jWKJwjR,"Another Cup of Coffee - Live at Buxton Opera House, 2004",6no5baGUKmDDpfO2eNDlaH,11,15,2020-02-28,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 4 (2000 - 2020)",spotify:album:4imG97mv42KPXY9jWKJwjR,"Life's Too Short - Live Acoustic Trio, 2018",2nLiG6hHZHjADbAokxMB5L,7,15,2020-02-28,day
Paul Carrack,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,"Paul Carrack Live: The Independent Years, Vol. 3 (2000 - 2020)",spotify:album:7wFSGMDCe6FxcBKDIveP6z,"That's How I Feel - Live at Preston Guild Hall, 2016",5AMsPUgnhRCBQwQnVyW8vD,7,15,2020-02-21,day
